instance,title,replies,retweets,likes,class
1,Oculus founder Palmer Luckey accused U.S. technology companies of shying away from working with the U.S. military because they fear losing access to the Chinese market. https://t.co/R2ReC20XmT',4,18,46,real
2,House Democrats blocked a motion Wednesday that would have prevented Biden from selling oil drawn from the United States Strategic Petroleum Reserve to entities controlled by the Chinese Communist Party. https://t.co/jBEWhIAFnG',104,351,516,real
3,Georgia may soon follow the line of states that have moved to ban or severely limit the practice of abortion following the recent Supreme Court ruling overturning Roe v. Wade. https://t.co/lzewyk3RMj',13,48,274,real
4,Ecuador’s government said on Tuesday it was still trying to identify the dismembered human parts of an estimated 12 inmates killed during a prison riot in Santo Domingo city that day. https://t.co/Ze5Nf7HROm',6,20,44,real
5,A midterm election forecast predicts former Gov. Eric Greitens (R-MO) will win Missouri’s U.S. Senate race in a blow-out with his odds of victory sitting at 96.1 percent against a Democrat opponent in the general election. https://t.co/bA7RC750bY',17,39,226,real
6,Major League Baseball’s All-Star game only earned 7.5 million viewers on Tuesday making it the lowest-rated All-Star game in MLB history. https://t.co/HniS1Jj82s',65,82,347,fake
7,Firefighters with the New York City Fire Department (FDNY) rescued a dog that was thrown off a bridge into a river on Wednesday afternoon. https://t.co/P1JX9DKTJ0',12,46,206,real
8,Ayman al-Zawahiri the leader of the international jihadist terror organization Al-Qaeda is confirmed to be alive a United Nations report revealed on Tuesday. https://t.co/MecgSKMcee',20,38,71,fake
9,A church in Lincoln Nebraska has been helping financially struggling households to eliminate millions of dollars in medical debt. https://t.co/TstVLhkWvI',9,39,200,real
10,Hunter Biden could reportedly be charged by the Justice Department for tax violations and lying to law enforcement about illegally purchasing a firearm as the probe into Joe Biden’s son comes to a head. https://t.co/49aKP2uz5X',208,185,609,real
11,House Democrats on Tuesday blocked a Republican resolution that would have condemned the violence seen by radical pro-abortion activists at churches and pro-life pregnancy centers in recent months. https://t.co/x8ToILMAYk',32,129,148,real
12,A Mexican federal judge issued an injunction to delay any attempts by the U.S. to extradite infamous drug lord Rafael Caro Quintero who is wanted for the murder of DEA Agent Enrique Kiki Camarena. https://t.co/AQiSU4zGYc',23,52,72,real
13,Over three quarters of voters believe Biden’s America is on the wrong track according to a Wednesday Morning Consult/Politico poll. https://t.co/NLtzs9cs5y',24,58,222,real
